lnN lnDN
1.022785105920725179e+01 4.948759890378168436e+00
1.022274096382522757e+01 5.017279836814924288e+00
1.021723933772095982e+01 4.962844630259906964e+00
1.021200113456784209e+01 4.927253685157205076e+00
1.020691993507914042e+01 4.744932128363250179e+00
1.020266579012633557e+01 4.941642422609303864e+00
1.019746228461092841e+01 5.036952602413629521e+00
1.019170698058652569e+01 4.927253685157205076e+00
1.018652133842340213e+01 4.859812404361671945e+00
1.018164945160375012e+01 4.852030263919616893e+00
1.017679175704195416e+01 4.795790545596741339e+00
1.017217791880630884e+01 4.905274778438429628e+00
1.016700499798861124e+01 4.912654885736052357e+00
1.016176656061859340e+01 4.927253685157205076e+00
1.015642288865807430e+01 4.779123493111529619e+00
1.015179189950883831e+01 4.836281906951477971e+00
1.014686501068114666e+01 4.875197323201151178e+00
1.014171674126837885e+01 4.744932128363250179e+00
1.013717531772600822e+01 4.919980925828125073e+00
1.013173804121848320e+01 4.595119850134589790e+00
1.012779043157018499e+01 4.820281565605037066e+00
1.012282386550738345e+01 4.867534450455582196e+00
1.011759035919818928e+01 4.867534450455582196e+00
1.011232931913947830e+01 4.934473933130691492e+00
1.010667326450939107e+01 4.905274778438429628e+00
1.010114917983564631e+01 4.718498871295094155e+00
1.009654296153305175e+01 4.812184355372417066e+00
1.009145978083889617e+01 4.779123493111529619e+00
1.008651719191376372e+01 4.615120516841259679e+00
1.008230297000079467e+01 4.564348191467836102e+00
1.007828084290929027e+01 4.718498871295094155e+00
1.007356782290772834e+01 4.852030263919616893e+00
1.006815417409136160e+01 4.744932128363250179e+00
1.006326522822851821e+01 4.718498871295094155e+00
1.005848073450162694e+01 4.709530201312333908e+00
1.005371626578281941e+01 4.820281565605037066e+00
1.004836681385421215e+01 4.859812404361671945e+00
1.004277111963851432e+01 4.718498871295094155e+00
1.003788731801578393e+01 4.897839799950911122e+00
1.003201268472441399e+01 4.787491742782045812e+00
1.002672236687075724e+01 4.779123493111529619e+00
1.002144835016969360e+01 4.682131227124219919e+00
1.001663765046878396e+01 4.882801922586370580e+00
1.001072630320572721e+01 4.795790545596741339e+00
1.000527669843816270e+01 4.744932128363250179e+00
1.000006965038237183e+01 4.744932128363250179e+00
9.994835346995403214e+00 4.727387818712340817e+00
9.989665248777180651e+00 4.727387818712340817e+00
9.984468281668407386e+00 4.836281906951477971e+00
9.978641406136551595e+00 4.709530201312333908e+00
9.973479924356162485e+00 4.510859506516849748e+00
