lnN lnDN
1.068604115633796070e+01 5.361292165709425461e+00
1.068115968816576178e+01 5.262690188904885602e+00
1.067671590156844452e+01 5.398162701517752460e+00
1.067160304933337933e+01 5.356586274672012316e+00
1.066667372387604829e+01 5.420534999272286214e+00
1.066139198031135216e+01 5.424950017481402931e+00
1.065605863433598977e+01 5.313205979041787153e+00
1.065126495374718907e+01 5.379897353540459726e+00
1.064611513518696917e+01 5.451038453565700159e+00
1.064055592015400187e+01 5.327876168789581257e+00
1.063561503273695763e+01 5.303304908059075728e+00
1.063077042402568750e+01 5.278114659230516814e+00
1.062602361798986195e+01 5.283203728737988492e+00
1.062122977995145412e+01 5.375278407684165316e+00
1.061594704412844692e+01 5.416100402204420128e+00
1.061041435650444598e+01 5.298317366548036311e+00
1.060547058175847290e+01 5.214935757608985867e+00
1.060090062124312382e+01 5.283203728737988492e+00
1.059598452175448635e+01 5.293304824724492263e+00
1.059099385320598685e+01 5.442417710521793239e+00
1.058516925498679484e+01 5.257495372027781499e+00
1.058030207847517623e+01 5.351858133476066648e+00
1.057492578993385735e+01 5.370638028127662444e+00
1.056941768680252025e+01 5.463831805025610500e+00
1.056333644769455837e+01 5.303304908059075728e+00
1.055812776516605922e+01 5.288267030694535187e+00
1.055297016060981008e+01 5.303304908059075728e+00
1.054770705947264986e+01 5.252273428046629888e+00
1.054268000549814666e+01 5.198497031265826074e+00
1.053789271307230990e+01 5.288267030694535187e+00
1.053262940312016127e+01 5.241747015059642578e+00
1.052757935965591507e+01 5.181783550292085039e+00
1.052279980058671249e+01 5.337538079701317884e+00
1.051718559922274743e+01 5.337538079701317884e+00
1.051153970056310172e+01 5.308267697401205076e+00
1.050602598422531742e+01 5.351858133476066648e+00
1.050023395880971933e+01 5.123963979403258762e+00
1.049559818891830076e+01 5.241747015059642578e+00
1.049035713037576301e+01 5.105945473900580289e+00
1.048575903675013699e+01 5.135798437050262066e+00
1.048099938949714804e+01 5.181783550292085039e+00
1.047599136057372959e+01 5.141663556502660271e+00
1.047115654051914646e+01 5.204006687076795146e+00
1.046598489907661467e+01 5.111987788356543660e+00
1.046124447098655175e+01 5.043425116919246776e+00
1.045679778790827363e+01 5.129898714923073477e+00
1.045192682959539887e+01 4.976733742420574202e+00
1.044772860984152274e+01 5.187385805840754927e+00
1.044252155256570802e+01 5.030437921392435285e+00
1.043804923397870255e+01 5.153291594497779293e+00
1.043296808639928486e+01 5.262690188904885602e+00
1.042726888746233449e+01 5.147494476813452735e+00
1.042216229124551852e+01 5.099866427824198745e+00
1.041726880412775103e+01 5.209486152841421358e+00
1.041177997044376191e+01 5.129898714923073477e+00
1.040668414913762696e+01 5.023880520846276454e+00
1.040207863863377646e+01 5.247024072160486163e+00
1.039629176170429936e+01 5.003946305945459194e+00
1.039173008710186075e+01 5.099866427824198745e+00
1.038668500918464410e+01 5.159055299214529100e+00
1.038130432949512638e+01 5.123963979403258762e+00
1.037608157381755980e+01 5.176149732573828821e+00
1.037054935886094320e+01 5.099866427824198745e+00
1.036539600406750417e+01 4.976733742420574202e+00
1.036081745835936729e+01 5.062595033026966895e+00
1.035580443942152584e+01 5.056245805348307698e+00
1.035079813123418724e+01 5.075173815233826602e+00
1.034567024357945542e+01 4.983606621708336348e+00
1.034096799007630274e+01 5.123963979403258762e+00
1.033552967549474566e+01 4.852030263919616893e+00
1.033136625548119270e+01 5.049856007249537093e+00
